Account.ExternalID__c,Amount,CloseDate,CreatedDate,LeadSource,Name,StageName,Type,Difficulty__c,ExternalID__c
ACC-978,130000,2024-09-25,2024-01-10T00:13:00+0200,Partner Referral,Transform b2c paradigms,Qualification,Existing Customer - Upgrade,10,Opp-82
ACC-957,63000,2025-03-15,2022-05-02T04:47:58+0200,Trade Show,Engage killer solutions,Prospecting,New Customer,55,Opp-83
ACC-102,215000,2024-12-23,2020-01-07T23:41:00+0200,Phone Inquiry,Synergize world-class metrics,Closed Won,Existing Customer - Upgrade,95,Opp-84
ACC-726,244000,2024-10-22,2020-10-09T11:44:00+0200,Other,Implement plug-and-play channels,Prospecting,Existing Customer - Upgrade,30,Opp-85
ACC-351,117000,2024-07-24,2020-12-04T17:26:00+0200,Trade Show,Expedite sticky bandwidth,Closed Won,Existing Customer - Replacement,75,Opp-86
ACC-309,113000,2024-12-09,2024-06-10T15:13:00+0200,Other,Enable visionary e-markets,Perception Analysis,Existing Customer - Replacement,65,Opp-87
ACC-836,113000,2024-10-21,2022-08-12T08:42:00+0200,Web,Architect back-end networks,Closed Won,New Customer,20,Opp-88
ACC-768,240000,2024-07-13,2023-09-03T04:38:00+0200,Trade Show,Disintermediate compelling convergence,Closed Won,Existing Customer - Downgrade,0,Opp-89
ACC-213,19000,2024-11-19,2022-06-04T06:15:00+0200,Direct Mail,Productize dot-com platforms,Needs Analysis,Existing Customer - Replacement,60,Opp-90
ACC-364,193000,2024-07-02,2022-07-13T00:33:00+0200,Partner Referral,Streamline mission-critical e-commerce,Closed Lost,Existing Customer - Upgrade,10,Opp-91
ACC-293,35000,2025-03-12,2023-09-11T18:27:00+0200,Trade Show,E-enable efficient content,Id. Decision Makers,Existing Customer - Upgrade,5,Opp-92
ACC-807,245000,2024-04-01,2023-05-09T13:38:00+0200,Trade Show,Optimize rich portals,Prospecting,Existing Customer - Replacement,5,Opp-93
ACC-334,96000,2024-08-28,2021-06-11T22:50:00+0200,Trade Show,Drive web-enabled platforms,Perception Analysis,New Customer,30,Opp-94
ACC-587,128000,2024-11-24,2021-05-04T04:45:00+0200,Trade Show,Streamline cross-platform roi,Closed Won,Existing Customer - Upgrade,65,Opp-95
ACC-202,79000,2024-07-05,2022-12-10T14:28:00+0200,Trade Show,Re-contextualize b2c convergence,Negotiation/Review,Existing Customer - Replacement,70,Opp-96
ACC-453,117000,2025-02-08,2023-11-02T02:51:00+0200,Phone Inquiry,Cultivate web-enabled deliverables,Id. Decision Makers,Existing Customer - Replacement,35,Opp-97
ACC-249,229000,2024-09-14,2022-07-05T18:33:00+0200,Phone Inquiry,Matrix bleeding-edge web services,Closed Lost,Existing Customer - Upgrade,15,Opp-98
ACC-567,43000,2024-10-06,2025-03-07T19:43:00+0200,Web,Brand front-end portals,Needs Analysis,Existing Customer - Upgrade,10,Opp-99
ACC-94,221000,2024-06-17,2024-12-01T19:50:00+0200,Web,Synthesize synergistic experiences,Closed Won,Existing Customer - Upgrade,45,Opp-100
ACC-284,114000,2024-06-03,2020-03-05T12:27:00+0200,Phone Inquiry,Repurpose world-class systems,Qualification,Existing Customer - Downgrade,90,Opp-101
ACC-600,173000,2024-11-09,2021-10-01T02:03:00+0200,Phone Inquiry,Optimize holistic metrics,Negotiation/Review,Existing Customer - Downgrade,35,Opp-102
ACC-697,14000,2025-03-20,2024-08-13T00:08:00+0200,Direct Mail,Engage proactive deliverables,Closed Lost,New Customer,80,Opp-103
ACC-819,71000,2024-09-23,2025-01-08T00:29:00+0200,Partner Referral,Embrace granular e-commerce,Closed Lost,Existing Customer - Downgrade,80,Opp-104
ACC-668,217000,2024-06-25,2024-03-31T13:07:00+0200,Direct Mail,Unleash best-of-breed mindshare,Negotiation/Review,Existing Customer - Downgrade,0,Opp-105
ACC-467,140000,2025-02-03,2021-12-11T17:37:00+0200,Trade Show,Benchmark integrated users,Id. Decision Makers,Existing Customer - Downgrade,95,Opp-106
ACC-937,133000,2025-03-09,2024-07-03T00:17:00+0200,Other,Engage wireless channels,Closed Lost,Existing Customer - Replacement,5,Opp-107
ACC-540,101000,2024-11-24,2020-10-07T20:55:00+0200,Trade Show,Repurpose viral applications,Prospecting,New Customer,20,Opp-108
ACC-365,148000,2024-12-29,2023-09-09T16:45:00+0200,Other,Scale wireless solutions,Prospecting,Existing Customer - Replacement,80,Opp-109
ACC-683,75000,2025-03-13,2021-01-06T06:58:00+0200,Trade Show,Seize clicks-and-mortar supply-chains,Closed Lost,New Customer,0,Opp-110
ACC-26,105000,2025-02-10,2022-11-11T11:44:00+0200,Phone Inquiry,Expedite cross-media synergies,Needs Analysis,Existing Customer - Upgrade,90,Opp-111
ACC-154,193000,2024-09-16,2025-02-01T02:42:00+0200,Web,Deploy mission-critical convergence,Proposal/Price Quote,Existing Customer - Replacement,90,Opp-112
ACC-77,13000,2024-12-09,2020-06-04T22:56:00+0200,Trade Show,Implement synergistic infrastructures,Value Proposition,New Customer,90,Opp-113
ACC-652,91000,2025-03-05,2020-06-02T13:14:00+0200,Other,Deploy bleeding-edge info-mediaries,Closed Won,New Customer,40,Opp-114
ACC-598,59000,2024-08-15,2021-03-13T01:02:00+0200,Web,Synthesize compelling initiatives,Perception Analysis,Existing Customer - Upgrade,10,Opp-115
ACC-226,61000,2024-11-27,2021-09-09T05:23:58+0200,Phone Inquiry,Innovate visionary markets,Needs Analysis,Existing Customer - Upgrade,75,Opp-116
ACC-202,80000,2024-12-17,2022-10-08T04:41:00+0200,Other,Enable scalable platforms,Closed Lost,Existing Customer - Replacement,80,Opp-117
ACC-129,66000,2025-01-22,2020-09-07T21:00:00+0200,Web,Brand visionary solutions,Value Proposition,New Customer,85,Opp-118
ACC-912,131000,2024-05-19,2021-07-11T01:38:00+0200,Trade Show,Reinvent end-to-end bandwidth,Closed Lost,Existing Customer - Downgrade,65,Opp-119
ACC-972,195000,2024-09-22,2023-09-09T16:52:00+0200,Web,Seize end-to-end bandwidth,Id. Decision Makers,Existing Customer - Replacement,20,Opp-120
ACC-546,46000,2025-03-24,2022-04-08T13:21:00+0200,Partner Referral,Implement out-of-the-box synergies,Closed Lost,New Customer,55,Opp-121
ACC-12,72000,2025-02-17,2023-08-07T06:49:00+0200,Web,Strategize web-enabled applications,Needs Analysis,New Customer,0,Opp-122
ACC-210,225000,2024-08-01,2023-04-02T03:53:00+0200,Partner Referral,Exploit end-to-end content,Value Proposition,Existing Customer - Replacement,5,Opp-123
ACC-207,124000,2024-11-19,2022-07-03T19:57:00+0200,Web,Utilize next-generation roi,Needs Analysis,Existing Customer - Upgrade,90,Opp-124
ACC-20,92000,2025-01-19,2022-04-04T14:57:00+0200,Web,Cultivate b2c users,Prospecting,Existing Customer - Replacement,35,Opp-125
ACC-802,17000,2024-06-22,2024-11-07T12:00:00+0200,Phone Inquiry,Visualize global vortals,Perception Analysis,Existing Customer - Upgrade,60,Opp-126
ACC-357,63000,2024-10-19,2023-08-01T05:57:00+0200,Other,Transform b2c e-services,Closed Lost,Existing Customer - Downgrade,35,Opp-127
ACC-419,247000,2025-01-17,2025-02-11T12:56:00+0200,Partner Referral,Streamline vertical interfaces,Perception Analysis,Existing Customer - Upgrade,70,Opp-128
ACC-658,215000,2025-02-04,2021-03-11T09:06:00+0200,Web,Synergize strategic e-business,Id. Decision Makers,Existing Customer - Downgrade,60,Opp-129
ACC-664,32000,2024-06-19,2021-09-04T11:23:00+0200,Trade Show,Engage best-of-breed relationships,Perception Analysis,Existing Customer - Upgrade,75,Opp-130
ACC-496,194000,2024-08-29,2020-10-11T02:46:00+0200,Web,Grow efficient niches,Proposal/Price Quote,Existing Customer - Downgrade,100,Opp-131
ACC-146,13000,2024-09-07,2023-06-02T16:47:00+0200,Direct Mail,Generate seamless interfaces,Closed Won,Existing Customer - Downgrade,90,Opp-132
ACC-614,189000,2024-09-24,2021-04-06T04:38:00+0200,Phone Inquiry,Engage interactive communities,Needs Analysis,Existing Customer - Replacement,90,Opp-133
ACC-922,37000,2025-01-25,2021-11-09T20:48:00+0200,Web,Architect ubiquitous interfaces,Needs Analysis,Existing Customer - Replacement,15,Opp-134
ACC-738,247000,2024-04-12,2023-10-05T20:28:00+0200,Partner Referral,Mesh sticky synergies,Prospecting,Existing Customer - Upgrade,35,Opp-135
ACC-147,226000,2024-07-08,2023-04-01T07:32:00+0200,Direct Mail,Engineer collaborative e-commerce,Proposal/Price Quote,Existing Customer - Downgrade,70,Opp-136
ACC-482,210000,2024-12-31,2025-01-10T02:46:00+0200,Partner Referral,Monetize back-end experiences,Proposal/Price Quote,New Customer,65,Opp-137
ACC-748,227000,2024-05-04,2024-11-08T03:13:00+0200,Direct Mail,Incentivize 24/365 applications,Closed Won,New Customer,60,Opp-138
ACC-718,165000,2024-08-08,2023-09-01T22:14:00+0200,Trade Show,Exploit e-business supply-chains,Perception Analysis,Existing Customer - Upgrade,85,Opp-139
ACC-790,146000,2024-08-22,2023-09-02T13:32:00+0200,Phone Inquiry,Deploy e-business portals,Negotiation/Review,New Customer,30,Opp-140
ACC-726,186000,2024-11-23,2021-07-05T04:02:58+0200,Trade Show,Syndicate value-added applications,Prospecting,Existing Customer - Upgrade,15,Opp-141
ACC-185,199000,2024-06-25,2023-09-10T13:59:00+0200,Partner Referral,Matrix user-centric niches,Needs Analysis,Existing Customer - Upgrade,100,Opp-142
ACC-516,113000,2024-10-26,2020-02-09T08:23:00+0200,Direct Mail,Repurpose turn-key portals,Perception Analysis,Existing Customer - Upgrade,70,Opp-143
ACC-842,60000,2024-12-02,2024-01-08T14:23:00+0200,Trade Show,Strategize bricks-and-clicks experiences,Closed Won,Existing Customer - Replacement,60,Opp-144
ACC-328,79000,2024-04-18,2023-04-09T20:12:00+0200,Other,Revolutionize bleeding-edge applications,Qualification,New Customer,70,Opp-145
ACC-398,71000,2024-11-12,2020-07-03T19:21:00+0200,Phone Inquiry,Extend clicks-and-mortar roi,Id. Decision Makers,New Customer,50,Opp-146
ACC-808,52000,2024-11-06,2020-01-08T05:57:00+0200,Other,Iterate turn-key models,Needs Analysis,Existing Customer - Replacement,25,Opp-147
ACC-723,54000,2025-01-04,2020-05-02T07:12:00+0200,Web,Repurpose rich mindshare,Qualification,Existing Customer - Downgrade,40,Opp-148
ACC-449,173000,2024-06-25,2019-12-31T11:12:00+0200,Trade Show,Seize dynamic architectures,Negotiation/Review,Existing Customer - Downgrade,35,Opp-149
ACC-614,67000,2024-12-31,2021-08-11T22:29:00+0200,Direct Mail,Transform plug-and-play technologies,Perception Analysis,New Customer,20,Opp-150
ACC-831,77000,2025-03-19,2022-09-07T22:38:00+0200,Web,Architect turn-key content,Prospecting,New Customer,60,Opp-151
ACC-448,99000,2024-12-03,2022-10-09T19:05:00+0200,Phone Inquiry,Maximize dot-com portals,Closed Lost,Existing Customer - Downgrade,50,Opp-152
ACC-104,108000,2024-08-11,2023-03-10T19:59:00+0200,Direct Mail,Drive bricks-and-clicks e-services,Qualification,Existing Customer - Downgrade,5,Opp-153
ACC-608,69000,2024-10-04,2024-05-08T18:47:00+0200,Web,Syndicate 24/7 portals,Value Proposition,Existing Customer - Downgrade,35,Opp-154
ACC-20,241000,2024-09-26,2020-07-09T12:42:00+0200,Other,Incubate bleeding-edge e-services,Id. Decision Makers,New Customer,90,Opp-155
ACC-453,192000,2024-10-22,2021-03-01T06:53:00+0200,Trade Show,Reinvent intuitive eyeballs,Negotiation/Review,Existing Customer - Downgrade,90,Opp-156
ACC-319,159000,2024-08-11,2020-03-07T04:50:00+0200,Trade Show,Revolutionize revolutionary relationships,Prospecting,Existing Customer - Upgrade,10,Opp-157
ACC-653,188000,2025-01-31,2023-03-13T00:17:00+0200,Other,Grow collaborative convergence,Negotiation/Review,Existing Customer - Upgrade,85,Opp-158
ACC-195,13000,2024-05-03,2024-08-01T08:17:00+0200,Phone Inquiry,Deploy frictionless e-commerce,Closed Won,Existing Customer - Downgrade,15,Opp-159
ACC-436,29000,2024-10-08,2021-01-05T10:05:00+0200,Partner Referral,Benchmark customized users,Prospecting,New Customer,60,Opp-160
ACC-9,217000,2024-11-26,2021-11-02T19:38:00+0200,Phone Inquiry,Redefine out-of-the-box content,Qualification,Existing Customer - Replacement,80,Opp-161
ACC-388,204000,2024-11-27,2021-12-31T20:12:00+0200,Direct Mail,Synergize magnetic solutions,Perception Analysis,New Customer,60,Opp-162
ACC-209,133000,2024-11-27,2022-01-05T19:38:00+0200,Partner Referral,Mesh clicks-and-mortar architectures,Perception Analysis,Existing Customer - Replacement,60,Opp-163
ACC-264,179000,2024-12-07,2024-07-03T07:21:00+0200,Direct Mail,Engineer real-time web-readiness,Id. Decision Makers,Existing Customer - Replacement,85,Opp-164
ACC-653,45000,2024-05-05,2020-11-05T00:22:00+0200,Trade Show,Optimize frictionless mindshare,Proposal/Price Quote,Existing Customer - Replacement,50,Opp-165
ACC-645,167000,2024-11-16,2024-06-30T21:11:00+0200,Other,Unleash cross-media web services,Id. Decision Makers,New Customer,15,Opp-166
ACC-819,96000,2024-11-21,2022-05-10T03:53:00+0200,Phone Inquiry,Benchmark revolutionary e-business,Closed Lost,Existing Customer - Downgrade,30,Opp-167
ACC-955,228000,2024-06-05,2022-03-07T05:08:00+0200,Trade Show,Transition scalable e-markets,Negotiation/Review,Existing Customer - Upgrade,35,Opp-168
ACC-523,67000,2024-06-03,2023-09-07T08:10:00+0200,Partner Referral,Re-intermediate integrated schemas,Closed Won,New Customer,90,Opp-169
ACC-76,102000,2024-04-28,2022-09-10T23:39:00+0200,Direct Mail,Embrace frictionless networks,Closed Won,New Customer,75,Opp-170
ACC-911,227000,2024-09-13,2021-04-10T12:33:00+0200,Partner Referral,Reinvent end-to-end eyeballs,Closed Lost,Existing Customer - Replacement,55,Opp-171
ACC-654,13000,2024-04-11,2023-07-08T06:53:58+0200,Trade Show,Extend intuitive methodologies,Closed Won,Existing Customer - Upgrade,60,Opp-172
ACC-175,192000,2025-02-07,2020-03-31T21:58:00+0200,Other,Grow magnetic functionalities,Prospecting,New Customer,50,Opp-173
ACC-899,214000,2024-10-30,2024-11-12T15:31:00+0200,Phone Inquiry,Brand back-end markets,Value Proposition,New Customer,50,Opp-174
ACC-64,135000,2025-02-23,2023-02-03T17:21:00+0200,Phone Inquiry,Leverage clicks-and-mortar methodologies,Qualification,Existing Customer - Replacement,100,Opp-175
ACC-163,145000,2024-04-18,2023-05-11T21:31:00+0200,Other,Re-intermediate global web-readiness,Negotiation/Review,Existing Customer - Replacement,20,Opp-176
ACC-82,159000,2024-05-21,2021-04-10T10:30:00+0200,Partner Referral,Iterate cross-platform infrastructures,Proposal/Price Quote,Existing Customer - Replacement,100,Opp-177
ACC-461,147000,2025-02-28,2024-09-02T00:42:00+0200,Partner Referral,Re-contextualize killer supply-chains,Negotiation/Review,Existing Customer - Downgrade,65,Opp-178
ACC-988,14000,2024-10-09,2022-08-05T22:43:00+0200,Other,Exploit virtual e-tailers,Value Proposition,Existing Customer - Downgrade,75,Opp-179
ACC-465,247000,2024-08-04,2021-10-12T06:31:00+0200,Phone Inquiry,Enhance best-of-breed roi,Perception Analysis,Existing Customer - Upgrade,80,Opp-180
ACC-651,141000,2025-01-28,2024-07-07T06:53:00+0200,Direct Mail,Unleash dynamic e-tailers,Value Proposition,New Customer,50,Opp-181
ACC-205,197000,2024-10-22,2021-10-08T02:32:00+0200,Partner Referral,Leverage cutting-edge synergies,Prospecting,Existing Customer - Upgrade,55,Opp-182
